id,dice_roll,hook
1,1,"A couple sailing around the world was reported missing near the South China Sea. The husband is a partner in a
large European bank and the wife is a politically important person in Luxemburg."
3,2,An opposition leader in Caracas claims to have evidence of North Korea selling WMDs to the regime.
4,3," A French Foreign Legion unit captured a terrorist convoy in Chad only to discover it was transporting plutonium.
The plutonium needs to be secured before the terrorists launch a counter-attack."
5,4,An FBI agent disappeared in San Diego. Her last known location was a safe house in the downtown area.
6,5, A computer file of the identities of 50 US and British undercover agents was stolen from a London safe house.
7,6,"A journalist disappeared in Uzbekistan. The journalist’s employer said she was getting close to breaking a story
about an international drug ring."
8,7,"A bloodsoaked laptop found on a street in Bogota had fingerprints from a missing RAW (Research and Analysis
Wing, India) agent on it. A DNA test on the blood hasn’t been done yet and the computer has a hard drive
password."
9,8,The US Navy lost contact with a submarine in the Indian Ocean. A search is underway.
10,9, A billionaire’s eight-year-old son was kidnapped. A ransom is remanded.
11,10, The daughter of a Russian oligarch was kidnapped. He’s offering an incredible reward.
12,11,"A US special forces team captured a ship smuggling weapons. The team requested assistance for an unknown
reason."
13,12,A Ukranian scientist requested protection in Kyiv.
14,13,"The CEO of a tech startup with a US defense contract disappeared in Bali. His hotel room was ransacked and the
local authorities did not find anything. However, if the characters search the room they will find a thumbdrive
under a bed."
15,14,A famed scholar disappeared in northern India.
16,15,The CDC reported a sample of the smallpox virus missing
17,16,A break-in at SpaceX headquarters has some concerned that sensitive material was stolen.
18,17," A US computer scientist disappeared while on vacation in Spain. His profile indicates he has specialized
knowledge of nuclear reactor computer control systems."
19,18,A missing Russian nuclear physicist was reportedly seen in Damascus.
20,19,There’s a credible threat of a bomb on a flight from London to New York.
21,20,"A CIA agent requested a covert meeting in Mexico City. The agent simply hands the characters a large envelope
and says, “Check this out.” In the envelope are a dozen thumb drives. On the drives the characters find information
regarding a terrorism plot to attack the port at San Degio."
22,21, A member of a UN peacekeeping force was abducted in Port-au-Prince.
23,22, A cargo ship has capsized in the Red Sea. There may be a chance to save the crew.
24,23,Credible intelligence points to an imminent terror attack on a hotel in Nairobi.
25,24, A terrorist group seized the Dushanbe International Airport.
26,25,"An FBI agent requested a meeting in Denver. The agent asks the party to attend a secret defence conference in
Kuala Lumpur to locate a dangerous arms dealer."
