id,dice_roll,location,situation
1,1,In a bar,"A man with a cybernetic arm
playing pool and drinking beer."
2,2,In a bar,"A crazy-eyed man selling illegal
or defective implants."
3,3,In a bar,"An old cop drinking away his
dead teammates and infidel wife."
4,4,In a bar,"A cyberspace addicted decker
looking for any job."
5,5,In a bar,"A well dressed man named
Johnson offering a contract too
good to be true."
6,6,In a bar,"Dancing holograms of the latest
fashionable pop idol."
7,7,In a bar,"Cops violently arresting a man
claiming to be innocent."
8,8,In a bar,"Loud music making the place
rather hard to spy on."
9,9,In a bar,"A band of augmented punk girls
trying to rob the place."
10,10,In a bar,"A rich woman followed by her
two impressive bodyguards."
11,11,In a bar,"Bored mercenaries waiting to be
contacted for their next contract."
12,12,In a bar,"A desperate woman looking for
info on her missing husband."
13,13,In a bar,"A nervous scientist letting off
steam after their shift."
14,14,In a bar,"Young lads loudly laughing in a
corner, unaware of the danger."
15,15,In a bar,"The place is silent but people are
dancing to music of their choice
coming from their ear implant."
16,16,In a bar,"A gang has “booked” the place for
the birthday of their boss."
17,17,In a bar,"A completely drunk person about
to have their credits stolen."
18,18,In a bar,"Salarymen having a drinking
party to celebrate a contract."
19,19,In a bar,"The place is trashed since a recent
vendetta against the owner."
20,20,In a bar,"A stealth chopper pilot reading
their next mission order."
21,1,in a poor district,"What remains of a man whose
augmentations have been stolen."
22,2,in a poor district,"A burning car with burnt bodies
inside of it."
23,3,in a poor district,"A knocked over trash can full of
rotting body parts."
24,4,in a poor district,"A shady augmentation clinic with
cheap prices and poor hygiene."
25,5,in a poor district,"A street samurai finishing off
gang members assaulting a girl."
26,6,in a poor district,"An emaciated junkie having a
badtrip in the gutter."
27,7,in a poor district,"A man living in a trailer, making
a living of ID forgery."
28,8,in a poor district,"A squat inhabited by a gang
known for selling new drugs."
29,9,in a poor district,"An abandoned and vandalized
amusement park."
30,10,in a poor district,"A credstick on the ground set up
as a trap by local thugs."
31,11,in a poor district,A flying robot scanning people ID looking for wanted criminals
32,12,in a poor district,"A homeless guy, and his dog,
dumpster diving for clothes."
33,13,in a poor district,"A noodle shop used as a cover by
yakuza for their weapon traffic."
34,14,in a poor district,"A crime scene being investigated
by polices officers and a detective."
35,15,in a poor district,"Stranges fumes coming out the
drains of this street."
36,16,in a poor district,"Tags on the walls tags marking
the street's belonging to a gang."
37,17,in a poor district,"People wearing black clothes
running and jumping from roof
to roof, guilty of some crime."
38,18,in a poor district,"Red neons showing the entrance
of an exotic massage salon."
39,19,in a poor district,"An apartment building made of
stacked containers."
40,20,in a poor district,"Dried blood splatters and empty
shells can be seen on the ground."
41,1,industrial district,"A damaged tank leaking its
contents in the sewers."
42,2,industrial district,"Air is hardly breathable without
an adapted mask."
43,3,industrial district,"Containers being forced open by
an armed and dangerous squad."
