odds,xyes1,value1,xno1,xyes2,value2,xno2,xyes3,value3,xno3,xyes4,value4,xno4,xyes5,value5,xno5,xyes6,value6,xno6,xyes7,value7,xno7,xyes8,value8,xno8,xyes9,value9,xno9
Impossible,0,-20,77,0,0,81,0,0,81,1,5,82,1,5,82,2,10,83,3,15,84,5,25,86,10,50,91
No Way,0,0,81,1,5,82,1,5,82,2,10,83,3,15,84,5,25,86,7,35,88,10,50,91,15,75,96
Very Unlikely,1,5,82,1,5,82,2,10,83,3,15,84,5,25,86,9,45,90,10,50,91,13,65,94,16,85,97
Unlikely,1,5,82,2,10,83,3,15,84,4,20,85,7,35,88,10,50,91,11,55,92,15,75,96,18,90,99
50/50,2,10,83,3,15,84,5,25,86,7,35,88,10,50,91,13,65,94,15,75,96,16,85,97,19,95,100
Somewhat Likely,4,20,85,5,25,86,9,45,90,10,50,91,13,65,94,16,80,97,16,85,97,18,90,99,19,95,100
Likely,5,25,86,7,35,88,10,50,91,11,55,92,15,75,96,16,85,97,18,90,99,19,95,100,20,100,0
Very Likely,9,45,90,10,50,91,13,65,94,15,75,96,16,85,97,18,90,99,19,95,100,19,95,100,21,105,0
Near Sure Thing,10,50,91,11,55,92,15,75,96,16,80,97,18,90,99,19,95,100,19,95,100,20,100,0,23,115,0
A Sure Thing,11,55,92,13,65,94,16,80,97,16,85,97,18,90,99,19,95,100,19,95,100,22,110,0,25,125,0
Has To Be,16,80,97,16,85,97,18,90,99,19,95,100,19,95,100,20,100,0,20,100,0,26,130,0,26,145,0
